"Part","Value","Device","Package","Description","ANTENNA",
"C1","4.7uF","CAPACITOR.0603","0603","","",
"C2","4.7uF","CAPACITOR.0603","0603","","",
"C3","4.7uF","CAPACITOR.0603","0603","","",
"C4","22uF","CAPACITOR.0603","0603","","",
"C5","1uF","CAPACITOR.0402","0402","","",
"C6","1uF","CAPACITOR.0402","0402","","",
"C7","1uF","CAPACITOR.0402","0402","","",
"C8",".1uF","CAPACITOR.0402","0402","","",
"C9",".1uF","CAPACITOR.0402","0402","","",
"C10",".1uF","CAPACITOR.0402","0402","","",
"D1","SMLP36","SMLP36","0604","","",
"D2","","LED.0402","0402.LED","","",
"D3","DIODE.SOD-523F","DIODE.SOD-523F","SOD-523F","","",
"D4","DIODE.SOD-523F","DIODE.SOD-523F","SOD-523F","","",
"L1","2.2 uH","INDUCTOR-SDR0403","SDR0403","","",
"M1","MOTOR-304-103","MOTOR-304-103","304-103","","",
"M2","MOTOR-304-103","MOTOR-304-103","304-103","","",
"Q1","2N7002BKV","2N7002BKV","SOT666","","",
"R1","1k","RESISTOR.0402","0402","","",
"R2","1k","RESISTOR.0402","0402","","",
"R3","1k","RESISTOR.0402","0402","","",
"R4","1k","RESISTOR.0402","0402","","",
"R5","10k","RESISTOR.0402","0402","","",
"R6","10k","RESISTOR.0402","0402","","",
"R7","10k","RESISTOR.0402","0402","","",
"R8","10k","RESISTOR.0402","0402","","",
"R9","1k","RESISTOR.0402","0402","","",
"R10","3.83k","RESISTOR.0402","0402","","",
"SW1","","SSAJ110100","SSAJ110100","","",
"U1","","BLE121LR-VISUAL-A","BLE121LR-A","Bluetooth Low Energy single-mode long-range module - Bluetooth 4.0 (CC2541). BLE121LR-A variant has an on-module ceramic chip antenna.","On-module ceramic chip antenna",
"U2","MCP7383X.DFN","MCP7383X.DFN","DFN8-3X2.PAD","","",
"U3","LM3668","LM3668","LLP.12.3X3MM","","",
"U4","TPS727XX.DSE","TPS727XX.DSE","DSE","","",
"USB2","USB_MICRO.10118194","USB_MICRO.10118194","10118194","","",
